t(s),Temperature(K),Pressure(Pa),Density(kg/m3),U(J/kg)
1.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
2.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
3.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207683e+05
4.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207682e+05
5.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207682e+05
6.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207681e+05
7.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207679e+05
8.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207677e+05
9.000000e-05,1.001000e+03,1.013250e+05,2.575490e-01,6.207674e+05
1.000000e-04,1.001000e+03,1.013250e+05,2.575490e-01,6.207668e+05
1.100000e-04,1.001000e+03,1.013250e+05,2.575490e-01,6.207659e+05
1.200000e-04,1.001000e+03,1.013250e+05,2.575490e-01,6.207646e+05
1.300000e-04,1.001000e+03,1.013249e+05,2.575490e-01,6.207625e+05
1.400000e-04,1.001000e+03,1.013249e+05,2.575490e-01,6.207592e+05
1.500000e-04,1.001000e+03,1.013249e+05,2.575490e-01,6.207541e+05
1.600000e-04,1.001000e+03,1.013248e+05,2.575490e-01,6.207462e+05
1.700000e-04,1.001000e+03,1.013247e+05,2.575490e-01,6.207337e+05
1.800000e-04,1.001000e+03,1.013245e+05,2.575490e-01,6.207138e+05
1.900000e-04,1.001000e+03,1.013243e+05,2.575490e-01,6.206821e+05
2.000000e-04,1.001000e+03,1.013238e+05,2.575490e-01,6.206301e+05
2.100000e-04,1.001000e+03,1.013232e+05,2.575490e-01,6.205431e+05
2.200000e-04,1.001000e+03,1.013220e+05,2.575490e-01,6.203915e+05
2.300000e-04,1.001000e+03,1.013202e+05,2.575490e-01,6.201139e+05
2.400000e-04,1.001000e+03,1.013170e+05,2.575490e-01,6.195727e+05
2.500000e-04,1.001000e+03,1.013110e+05,2.575490e-01,6.184467e+05
2.600000e-04,1.001000e+03,1.012995e+05,2.575490e-01,6.159919e+05
2.700000e-04,1.001000e+03,1.012760e+05,2.575490e-01,6.106250e+05
2.800000e-04,1.001000e+03,1.012271e+05,2.575490e-01,5.992276e+05
2.900000e-04,1.001000e+03,1.011259e+05,2.575490e-01,5.756189e+05
3.000000e-04,1.001000e+03,1.009220e+05,2.575490e-01,5.281545e+05
3.100000e-04,1.001000e+03,1.005334e+05,2.575490e-01,4.380406e+05
3.200000e-04,1.001000e+03,9.986479e+04,2.575490e-01,2.839674e+05
3.300000e-04,1.001000e+03,9.888751e+04,2.575490e-01,6.025117e+04
3.400000e-04,1.001000e+03,9.771922e+04,2.575490e-01,-2.056914e+05
3.500000e-04,1.001000e+03,9.655923e+04,2.575490e-01,-4.687502e+05
3.600000e-04,1.001000e+03,9.554672e+04,2.575490e-01,-6.978807e+05
3.700000e-04,1.001000e+03,9.472174e+04,2.575490e-01,-8.843923e+05
3.800000e-04,1.001000e+03,9.406759e+04,2.575490e-01,-1.032229e+06
3.900000e-04,1.001000e+03,9.355113e+04,2.575490e-01,-1.148942e+06
4.000000e-04,1.001000e+03,9.314075e+04,2.575490e-01,-1.241696e+06
4.100000e-04,1.001000e+03,9.281110e+04,2.575490e-01,-1.316213e+06
4.200000e-04,1.001000e+03,9.254314e+04,2.575490e-01,-1.376799e+06
4.300000e-04,1.001000e+03,9.232276e+04,2.575490e-01,-1.426636e+06
4.400000e-04,1.001000e+03,9.213956e+04,2.575490e-01,-1.468072e+06
4.500000e-04,1.001000e+03,9.198579e+04,2.575490e-01,-1.502859e+06
4.600000e-04,1.001000e+03,9.185560e+04,2.575490e-01,-1.532313e+06
4.700000e-04,1.001000e+03,9.174454e+04,2.575490e-01,-1.557441e+06
4.800000e-04,1.001000e+03,9.164918e+04,2.575490e-01,-1.579022e+06
4.900000e-04,1.001000e+03,9.156681e+04,2.575490e-01,-1.597663e+06
5.000000e-04,1.001000e+03,9.149530e+04,2.575490e-01,-1.613848e+06
5.100000e-04,1.001000e+03,9.143293e+04,2.575490e-01,-1.627962e+06
5.200000e-04,1.001000e+03,9.137833e+04,2.575490e-01,-1.640320e+06
5.300000e-04,1.001000e+03,9.133036e+04,2.575490e-01,-1.651178e+06
5.400000e-04,1.001000e+03,9.128809e+04,2.575490e-01,-1.660745e+06
5.500000e-04,1.001000e+03,9.125073e+04,2.575490e-01,-1.669199e+06
5.600000e-04,1.001000e+03,9.121764e+04,2.575490e-01,-1.676686e+06
5.700000e-04,1.001000e+03,9.118828e+04,2.575490e-01,-1.683330e+06
5.800000e-04,1.001000e+03,9.116217e+04,2.575490e-01,-1.689237e+06
5.900000e-04,1.001000e+03,9.113891e+04,2.575490e-01,-1.694497e+06
6.000000e-04,1.001000e+03,9.111818e+04,2.575490e-01,-1.699187e+06
6.100000e-04,1.001000e+03,9.109966e+04,2.575490e-01,-1.703374e+06
6.200000e-04,1.001000e+03,9.108311e+04,2.575490e-01,-1.707115e+06
6.300000e-04,1.001000e+03,9.106831e+04,2.575490e-01,-1.710460e+06
6.400000e-04,1.001000e+03,9.105505e+04,2.575490e-01,-1.713454e+06
6.500000e-04,1.001000e+03,9.104318e+04,2.575490e-01,-1.716136e+06
6.600000e-04,1.001000e+03,9.103254e+04,2.575490e-01,-1.718538e+06
6.700000e-04,1.001000e+03,9.102300e+04,2.575490e-01,-1.720690e+06
6.800000e-04,1.001000e+03,9.101444e+04,2.575490e-01,-1.722620e+06
6.900000e-04,1.001000e+03,9.100676e+04,2.575490e-01,-1.724350e+06
7.000000e-04,1.001000e+03,9.099988e+04,2.575490e-01,-1.725902e+06
7.100000e-04,1.001000e+03,9.099370e+04,2.575490e-01,-1.727292e+06
7.200000e-04,1.001000e+03,9.098816e+04,2.575490e-01,-1.728539e+06
7.300000e-04,1.001000e+03,9.098318e+04,2.575490e-01,-1.729657e+06
7.400000e-04,1.001000e+03,9.097872e+04,2.575490e-01,-1.730658e+06
7.500000e-04,1.001000e+03,9.097473e+04,2.575490e-01,-1.731556e+06
7.600000e-04,1.001000e+03,9.097114e+04,2.575490e-01,-1.732359e+06
7.700000e-04,1.001000e+03,9.096793e+04,2.575490e-01,-1.733078e+06
7.800000e-04,1.001000e+03,9.096505e+04,2.575490e-01,-1.733722e+06
7.900000e-04,1.001000e+03,9.096248e+04,2.575490e-01,-1.734297e+06
8.000000e-04,1.001000e+03,9.096017e+04,2.575490e-01,-1.734812e+06
8.100000e-04,1.001000e+03,9.095811e+04,2.575490e-01,-1.735271e+06
8.200000e-04,1.001000e+03,9.095627e+04,2.575490e-01,-1.735682e+06
8.300000e-04,1.001000e+03,9.095462e+04,2.575490e-01,-1.736048e+06
8.400000e-04,1.001000e+03,9.095315e+04,2.575490e-01,-1.736375e+06
8.500000e-04,1.001000e+03,9.095184e+04,2.575490e-01,-1.736666e+06
8.600000e-04,1.001000e+03,9.095067e+04,2.575490e-01,-1.736925e+06
8.700000e-04,1.001000e+03,9.094963e+04,2.575490e-01,-1.737157e+06
8.800000e-04,1.001000e+03,9.094870e+04,2.575490e-01,-1.737363e+06
8.900000e-04,1.001000e+03,9.094787e+04,2.575490e-01,-1.737546e+06
9.000000e-04,1.001000e+03,9.094713e+04,2.575490e-01,-1.737710e+06
9.100000e-04,1.001000e+03,9.094647e+04,2.575490e-01,-1.737855e+06
9.200000e-04,1.001000e+03,9.094589e+04,2.575490e-01,-1.737985e+06
9.300000e-04,1.001000e+03,9.094536e+04,2.575490e-01,-1.738101e+06
9.400000e-04,1.001000e+03,9.094490e+04,2.575490e-01,-1.738205e+06
9.500000e-04,1.001000e+03,9.094448e+04,2.575490e-01,-1.738297e+06
9.600000e-04,1.001000e+03,9.094411e+04,2.575490e-01,-1.738380e+06
9.700000e-04,1.001000e+03,9.094377e+04,2.575490e-01,-1.738455e+06
9.800000e-04,1.001000e+03,9.094347e+04,2.575490e-01,-1.738522e+06
9.900000e-04,1.001000e+03,9.094321e+04,2.575490e-01,-1.738582e+06
1.000000e-03,1.001000e+03,9.094296e+04,2.575490e-01,-1.738637e+06
